gene_id	transcript_id	gene_name
ENSG00000003147	BC008640	ICA1
ENSG00000090924	BC013426	PLEKHG2
ENSG00000198393	BC008211	ZNF26
ENSG00000144524	BC010739	COPS7B
ENSG00000083817	BC000130	ZNF416
ENSG00000148153	BC014881	INIP
ENSG00000136982	BC001316	DSCC1
ENSG00000180425	BC009041	C11orf71
ENSG00000011638	BC015812	LDAF1
ENSG00000160207	BC000153	HSF2BP
ENSG00000177042	BC008671	TMEM80
ENSG00000178950	BC008668	GAK
ENSG00000143149	BC011410	ALDH9A1
ENSG00000008838	BC011375	MED24
ENSG00000166925	BC001966	TSC22D4
ENSG00000155090	BC011538	KLF10
ENSG00000128016	BC009693	ZFP36
ENSG00000058056	BC016146	USP13
ENSG00000141959	BC018295	PFKL
ENSG00000159069	BC000850	FBXW5
ENSG00000104228	BC018337	TRIM35
ENSG00000133265	BC001236	HSPBP1
ENSG00000143079	BC016029	CTTNBP2NL
ENSG00000133193	BC011054	FAM104A
ENSG00000140718	BC001284	FTO
ENSG00000145945	BC001261	FAM50B
ENSG00000173156	BC001338	RHOD
ENSG00000166441	BC014919	RPL27A
ENSG00000173349	BC006808	SFT2D3
ENSG00000076351	BC010691	SLC46A1
ENSG00000158301	BC013576	GPRASP2
ENSG00000072182	BC010439	ASIC4
